127.0.0.1 - - [16/Jan/2023:16:17:56 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [16/Jan/2023:16:17:58 +0900] "GET /_Ex/mypage.jsp HTTP/1.1" 200 10273
0:0:0:0:0:0:0:1 - - [16/Jan/2023:16:17:58 +0900] "GET /_Ex/js/jquery.js HTTP/1.1" 200 238009
0:0:0:0:0:0:0:1 - - [16/Jan/2023:16:17:58 +0900] "GET /_Ex/images/logo.jpg HTTP/1.1" 200 229023
0:0:0:0:0:0:0:1 - - [16/Jan/2023:16:17:58 +0900] "GET /_Ex/images/%EC%B1%84%EC%86%8C.png HTTP/1.1" 200 5166
0:0:0:0:0:0:0:1 - - [16/Jan/2023:16:17:58 +0900] "GET /_Ex/images/%EA%B3%BC%EC%9D%BC.png HTTP/1.1" 200 4874
0:0:0:0:0:0:0:1 - - [16/Jan/2023:16:17:58 +0900] "GET /_Ex/images/%EA%B5%AD.png HTTP/1.1" 200 3932
0:0:0:0:0:0:0:1 - - [16/Jan/2023:16:17:58 +0900] "GET /_Ex/images/%EC%88%98%EC%82%B0.png HTTP/1.1" 200 5102
0:0:0:0:0:0:0:1 - - [16/Jan/2023:16:17:58 +0900] "GET /_Ex/images/%EC%A0%95%EC%9C%A1.png HTTP/1.1" 200 4497
0:0:0:0:0:0:0:1 - - [16/Jan/2023:16:17:58 +0900] "GET /_Ex/images/%EC%83%90%EB%9F%AC%EB%93%9C.png HTTP/1.1" 200 4164
0:0:0:0:0:0:0:1 - - [16/Jan/2023:16:17:58 +0900] "GET /_Ex/images/%EB%A9%B4.png HTTP/1.1" 200 3262
0:0:0:0:0:0:0:1 - - [16/Jan/2023:16:17:58 +0900] "GET /_Ex/images/%EC%83%9D%EC%88%98.png HTTP/1.1" 200 4051
0:0:0:0:0:0:0:1 - - [16/Jan/2023:16:17:58 +0900] "GET /_Ex/images/%EA%B0%84%EC%8B%9D.png HTTP/1.1" 200 4671
0:0:0:0:0:0:0:1 - - [16/Jan/2023:16:17:58 +0900] "GET /_Ex/images/cart.png HTTP/1.1" 200 7979
0:0:0:0:0:0:0:1 - - [16/Jan/2023:16:18:05 +0900] "GET /_Ex/mypage.jsp?id=admin HTTP/1.1" 200 10273
